Year,First Name,County,Sex,Count
2012,AARON,KINGS,M,115
2012,ABRAHAM,KINGS,M,122
2012,AIDEN,KINGS,M,187
2012,AIDEN,QUEENS,M,171
2012,AIDEN,BRONX,M,123
2012,ALEXANDER,NEW YORK,M,145
2012,ALEXANDER,KINGS,M,138
2012,ALEXANDER,QUEENS,M,135
2012,ANDREW,QUEENS,M,105
2012,ANTHONY,SUFFOLK,M,154
2012,ANTHONY,KINGS,M,124
2012,ANTHONY,QUEENS,M,122
2012,ANTHONY,NASSAU,M,110
2012,BENJAMIN,KINGS,M,108
2012,BRANDON,QUEENS,M,105
2012,CHAIM,KINGS,M,130
2012,CHANA,KINGS,F,139
2012,CHAYA,KINGS,F,142
2012,CHLOE,KINGS,F,135
2012,CHLOE,QUEENS,F,115
2012,CHRISTOPHER,SUFFOLK,M,108
2012,CHRISTOPHER,QUEENS,M,106
2012,DANIEL,KINGS,M,213
2012,DANIEL,QUEENS,M,184
2012,DAVID,KINGS,M,273
2012,DAVID,QUEENS,M,121
2012,DYLAN,QUEENS,M,125
2012,DYLAN,KINGS,M,104
2012,EMILY,QUEENS,F,159
2012,EMILY,KINGS,F,153
2012,EMMA,QUEENS,F,133
2012,EMMA,KINGS,F,116
2012,EMMA,SUFFOLK,F,108
2012,ESTHER,KINGS,F,169
2012,ETHAN,KINGS,M,212
2012,ETHAN,QUEENS,M,201
2012,ETHAN,BRONX,M,149
2012,ETHAN,NEW YORK,M,109
2012,GABRIEL,QUEENS,M,100
2012,ISABELLA,QUEENS,F,193
2012,ISABELLA,KINGS,F,125
2012,ISABELLA,SUFFOLK,F,117
2012,ISABELLA,BRONX,F,117
2012,JACOB,KINGS,M,229
2012,JACOB,QUEENS,M,162
2012,JACOB,BRONX,M,135
2012,JACOB,SUFFOLK,M,105
2012,JASON,QUEENS,M,108
2012,JAYDEN,KINGS,M,259
2012,JAYDEN,QUEENS,M,207
2012,JAYDEN,BRONX,M,185
2012,JAYDEN,SUFFOLK,M,105
2012,JEREMIAH,KINGS,M,106
2012,JONATHAN,QUEENS,M,119
2012,JOSEPH,KINGS,M,174
2012,JOSEPH,SUFFOLK,M,136
2012,JOSEPH,NASSAU,M,122
2012,JOSEPH,QUEENS,M,117
2012,JOSHUA,KINGS,M,136
2012,JOSHUA,QUEENS,M,133
2012,JUSTIN,KINGS,M,159
2012,JUSTIN,QUEENS,M,138
2012,KEVIN,QUEENS,M,117
2012,KEVIN,KINGS,M,107
2012,LEAH,KINGS,F,204
2012,LIAM,QUEENS,M,104
2012,LIAM,KINGS,M,102
2012,LUCAS,QUEENS,M,138
2012,MADISON,KINGS,F,105
2012,MADISON,QUEENS,F,101
2012,MASON,BRONX,M,119
2012,MASON,QUEENS,M,111
2012,MASON,KINGS,M,110
2012,MATTHEW,QUEENS,M,184
2012,MATTHEW,KINGS,M,158
2012,MATTHEW,NASSAU,M,127
2012,MATTHEW,SUFFOLK,M,127
2012,MATTHEW,BRONX,M,106
2012,MIA,QUEENS,F,119
2012,MIA,KINGS,F,104
2012,MICHAEL,KINGS,M,172
2012,MICHAEL,SUFFOLK,M,159
2012,MICHAEL,QUEENS,M,151
2012,MICHAEL,NASSAU,M,134
2012,MICHAEL,BRONX,M,107
2012,MIRIAM,KINGS,F,125
2012,MOSHE,KINGS,M,200
2012,NICHOLAS,SUFFOLK,M,104
2012,NICHOLAS,QUEENS,M,103
2012,NOAH,KINGS,M,125
2012,NOAH,QUEENS,M,106
2012,OLIVIA,QUEENS,F,133
2012,OLIVIA,KINGS,F,130
2012,OLIVIA,NEW YORK,F,113
2012,RACHEL,KINGS,F,163
2012,RYAN,KINGS,M,162
2012,RYAN,QUEENS,M,150
2012,RYAN,NASSAU,M,112
2012,RYAN,NEW YORK,M,108
2012,SAMUEL,KINGS,M,130
2012,SARAH,KINGS,F,163
2012,SOPHIA,QUEENS,F,199
2012,SOPHIA,KINGS,F,169
2012,SOPHIA,NASSAU,F,122
2012,SOPHIA,SUFFOLK,F,118
